PLAYER_ID,PLAYER_NAME,TEAM
203939,Dwight Powell,DAL
1641765,Olivier-Maxence Prosper,DAL
1641789,Jazian Gortman,DAL
202693,Markieff Morris,DAL
203084,Harrison Barnes,SAS
1631110,Jeremy Sochan,SAS
1641705,Victor Wembanyama,SAS
1630577,Julian Champagnie,SAS
101108,Chris Paul,SAS
1628380,Zach Collins,SAS
1629640,Keldon Johnson,SAS
1630200,Tre Jones,SAS
1642264,Stephon Castle,SAS
1631104,Blake Wesley,SAS
1630572,Sandro Mamukelashvili,SAS
1629646,Charles Bassey,SAS
1631103,Malaki Branham,SAS
1631321,Sidy Cissoko,SAS
1631127,Harrison Ingram,SAS
201942,DeMar DeRozan,SAC
1631099,Keegan Murray,SAC
1627734,Domantas Sabonis,SAC
1628989,Kevin Huerter,SAC
1628368,De'Aaron Fox,SAC
1628370,Malik Monk,SAC
1631165,Keon Ellis,SAC
1626168,Trey Lyles,SAC
203458,Alex Len,SAC
203926,Doug McDermott,SAC
1641732,Colby Jones,SAC
1642403,Isaac Jones,SAC
1629162,Jordan McLaughlin,SAC
1630182,Josh Green,CHA
1631386,Taze Moore,POR
1629627,Zion Williamson,NOP
1630554,Jason Preston,UTA
1630644,Mac McClung,ORL
1630543,Isaiah Jackson,IND
1630618,D.J. Carton,TOR
1642439,Quincy Olivari,LAL
1642422,Armel Traore,LAL
1631221,Collin Gillespie,PHX
1641766,Adama Sanogo,CHI
1630561,David Duke Jr.,SAS
1642434,Riley Minix,SAS
1628991,Jaren Jackson Jr.,MEM
1630243,Trevelin Queen,ORL
1642352,Keshad Johnson,MIA
1641857,Liam Robbins,MIL
203500,Steven Adams,HOU
1630314,Brandon Williams,DAL
1630556,Kessler Edwards,DAL
1629628,RJ Barrett,TOR
1630311,Pat Spencer,GSW
1641736,Reece Beekman,GSW
1631288,Jamal Cain,NOP
1630527,Brandon Boston,NOP
1630227,Daishen Nix,MIN
1630548,Johnny Juzang,UTA
1641723,Kobe Bufkin,ATL
1626174,Christian Wood,LAL
1630570,Trendon Watford,BKN
1630658,Colin Castleton,MEM
1642502,Malevy Leons,OKC
1631247,Luke Travers,CLE
1642266,Ja'Kobe Walter,TOR
1629006,Josh Okogie,PHX
1630550,JT Thor,CLE
1642461,Spencer Jones,DEN
1629669,Jaylen Nowell,NOP
1631230,Dominick Barlow,ATL
1629020,Jarred Vanderbilt,LAL
1630222,Mason Jones,SAC
1630649,Stanley Umude,MIL
202331,Paul George,PHI
1629098,Jack McVeigh,HOU
1628379,Luke Kennard,MEM
1631132,Christian Koloko,LAL
203954,Joel Embiid,PHI
1630346,Matt Ryan,NYK
1642268,Isaiah Collier,UTA
1630170,Devin Vassell,SAS
1630530,Trey Murphy III,NOP
1629026,Kenrich Williams,OKC
1631121,Bryce McGowens,POR
1631303,Justin Minaya,POR
1631102,TyTy Washington Jr.,PHX
1641779,Jalen Bridges,PHX
1630604,E.J. Liddell,CHI
1641790,PJ Hall,DEN
1631246,Vince Williams Jr.,MEM
204001,Kristaps Porziņģis,BOS
1631115,Orlando Robinson,SAC
1642382,Branden Carlson,OKC
1628964,Mo Bamba,LAC
1627763,Malcolm Brogdon,WAS
1642366,Quinten Post,GSW
1641803,Tristen Newton,IND
203901,Elfrid Payton,NOP
1629650,Moses Brown,IND
1628392,Isaiah Hartenstein,OKC
1642285,Cam Spencer,MEM
1641709,Ausar Thompson,DET
1641740,Jaylen Clark,MIN
203109,Jae Crowder,SAC
1629610,DaQuan Jeffries,CHA
1642384,Isaiah Crawford,SAC
1630549,Day'Ron Sharpe,BKN
1631109,Mark Williams,CHA
1631209,Isaiah Wong,CHA
1631250,Pete Nance,PHI
1630173,Precious Achiuwa,NYK
203114,Khris Middleton,MIL
203482,Kelly Olynyk,TOR
1642486,Boo Buie III,NYK
1630639,A.J. Lawson,TOR
1629622,Max Strus,CLE
1630528,Josh Christopher,MIA
1629013,Landry Shamet,NYK
1631119,Jaylin Williams,OKC
1641774,Tristan Vukcevic,WAS
1641752,Bobi Klintman,DET
1642399,Jesse Edwards,MIN
1641815,Isaiah Stevens,MIA
1628971,Bruce Brown,TOR
1642269,Devin Carter,SAC
202695,Kawhi Leonard,LAC
1641787,Tosan Evbuomwan,BKN
1641734,Emoni Bates,CLE
1642484,RayJ Dennis,IND
1641989,Elijah Harkless,UTA
1630647,Eugene Omoruyi,TOR
1631342,Daeqwon Plowden,ATL
1631199,Ron Harper Jr.,DET
1641801,Emanuel Miller,CHI
1641713,GG Jackson,MEM
203957,Danté Exum,DAL
1630283,Kylor Kelley,DAL
1642050,Jackson Rowe,GSW
1629643,Chuma Okeke,PHI
1631232,Keion Brooks Jr.,NOP
1630692,Jordan Goodwin,LAL
1642389,Zyon Pullin,MEM
202687,Bismack Biyombo,SAS
1626143,Jahlil Okafor,IND
1641878,Damion Baugh,CHA
1628365,Markelle Fultz,SAC
1630165,Killian Hayes,BKN
1641772,Nae'Qwan Tomlin,CLE
1641907,Erik Stevenson,WAS
1630205,Lamar Stevens,MEM
